Ambulance Service Indicators,no. of emergency calls,no. of hospital transfer calls,calls per ambulance,"turnouts of ambulances, ambulance motor cycles and Rapid Response Vehicles to calls",emergency move-ups of ambulances to provide operational coverage,,,,,,,
01/2019,70004,4970,200.70 ,78137,8186,,,,,,,
02/2019,57701,4104,172.87 ,63926,7143,,,,,,,
03/2019,66169,4883,189.20 ,78315,7314,,,,,,,
04/2019,63195,4602,177.78 ,69743,8159,,,,,,,
05/2019,65518,4914,183.25 ,72146,8664,,,,,,,
06/2019,64081,4401,179.10 ,70961,9371,,,,,,,
07/2019,65429,4707,182.02 ,71358,8700,,,,,,,
08/2019,62714,4560,174.48 ,68449,8096,,,,,,,
09/2019,61144,4492,175.66 ,66991,8183,,,,,,,
10/2019,61342,4331,169.44 ,67663,8011,,,,,,,
11/2019,62096,4022,174.14 ,68562,8709,,,,,,,
12/2019,67286,4437,185.85 ,73998,9722,,,,,,,
01/2020,62991,4186,177.45 ,67363,9364,,,,,,,
02/2020,45238,2691,126.54 ,49537,5138,,,,,,,
03/2020,50303,3612,136.67 ,55056,7340,,,,,,,
04/2020,46963,3552,129.51 ,51451,5008,,,,,,,
05/2020,54614,3770,144.64 ,59597,6688,,,,,,,
06/2020,57903,3935,153.62 ,63890,7698,,,,,,,
07/2020,54996,4163,146.58 ,61002,6799,,,,,,,
08/2020,49541,3784,132.69 ,55037,5660,,,,,,,
09/2020,52755,3593,144.67 ,58260,6778,,,,,,,
10/2020,56302,3748,149.52 ,62710,7935,,,,,,,
11/2020,55801,4342,157.53 ,62249,7971,,,,,,,
12/2020,52829,5454,149.87 ,59698,7816,,,,,,,
01/2021,54654,4706,149.44 ,61986,7899,,,,,,,
02/2021,48069,3890,136.47 ,54048,6264,,,,,,,
03/2021,58524,4458,158.42 ,65269,7661,,,,,,,
04/2021,56765,3941,152.72 ,63257,6709,,,,,,,
05/2021,62392,3895,168.24 ,69553,8310,,,,,,,
06/2021,60095,3828,165.26 ,66378,9216,,,,,,,
07/2021,63543,3863,175.51 ,70538,10627,,,,,,,
08/2021,62198,3822,172.02 ,68656,9576,,,,,,,
09/2021,61335,3632,144.15 ,68275,9146,,,,,,,
10/2021,62081,3770,166.01 ,68386,9225,,,,,,,
11/2021,62006,3699,167.22 ,69144,8785,,,,,,,
12/2021,63510,3925,170.38 ,70982,9519,,,,,,,
01/2022,59170,4147,161.11 ,66532,9798,,,,,,,
02/2022,54478,2908,170.12 ,60393,8776,,,,,,,
03/2022,60004,719,154.13 ,65915,8034,,,,,,,
