年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2020,1,1,17.5,C
2020,1,2,18.0,C
2020,1,3,18.7,C
2020,1,4,18.5,C
2020,1,5,20.4,C
2020,1,6,21.4,C
2020,1,7,21.8,C
2020,1,8,22.0,C
2020,1,9,19.4,C
2020,1,10,20.1,C
2020,1,11,20.0,C
2020,1,12,17.9,C
2020,1,13,18.1,C
2020,1,14,19.2,C
2020,1,15,19.5,C
2020,1,16,20.1,C
2020,1,17,18.7,C
2020,1,18,18.3,C
2020,1,19,18.2,C
2020,1,20,18.2,C
2020,1,21,18.6,C
2020,1,22,21.1,C
2020,1,23,22.2,C
2020,1,24,21.9,C
2020,1,25,19.9,C
2020,1,26,16.7,C
2020,1,27,13.1,C
2020,1,28,13.2,C
2020,1,29,14.1,C
2020,1,30,14.9,C
2020,1,31,14.0,C
2020,2,1,15.6,C
2020,2,2,17.3,C
2020,2,3,18.4,C
2020,2,4,17.5,C
2020,2,5,17.7,C
2020,2,6,17.4,C
2020,2,7,18.9,C
2020,2,8,17.8,C
2020,2,9,16.3,C
2020,2,10,16.6,C
2020,2,11,18.2,C
2020,2,12,20.3,C
2020,2,13,19.1,C
2020,2,14,21.5,C
2020,2,15,22.5,C
2020,2,16,14.6,C
2020,2,17,13.8,C
2020,2,18,14.1,C
2020,2,19,16.3,C
2020,2,20,17.6,C
2020,2,21,18.5,C
2020,2,22,18.8,C
2020,2,23,19.8,C
2020,2,24,20.1,C
2020,2,25,22.4,C
2020,2,26,21.8,C
2020,2,27,20.0,C
2020,2,28,20.9,C
2020,2,29,21.7,C
2020,3,1,21.3,C
2020,3,2,19.5,C
2020,3,3,19.6,C
2020,3,4,20.2,C
2020,3,5,17.7,C
2020,3,6,18.4,C
2020,3,7,21.7,C
2020,3,8,22.4,C
2020,3,9,23.5,C
2020,3,10,23.4,C
2020,3,11,19.0,C
2020,3,12,21.4,C
2020,3,13,23.0,C
2020,3,14,21.6,C
2020,3,15,20.1,C
2020,3,16,20.2,C
2020,3,17,20.5,C
2020,3,18,20.2,C
2020,3,19,21.1,C
2020,3,20,21.5,C
2020,3,21,22.8,C
2020,3,22,23.6,C
2020,3,23,23.7,C
2020,3,24,22.7,C
2020,3,25,22.9,C
2020,3,26,23.6,C
2020,3,27,24.0,C
2020,3,28,22.7,C
2020,3,29,20.5,C
2020,3,30,21.3,C
2020,3,31,21.5,C
2020,4,1,20.0,C
2020,4,2,20.2,C
2020,4,3,20.9,C
2020,4,4,21.1,C
2020,4,5,18.2,C
2020,4,6,17.2,C
2020,4,7,19.1,C
2020,4,8,21.0,C
2020,4,9,21.8,C
2020,4,10,21.5,C
2020,4,11,22.8,C
2020,4,12,20.9,C
2020,4,13,19.4,C
2020,4,14,20.2,C
2020,4,15,20.5,C
2020,4,16,21.5,C
2020,4,17,23.0,C
2020,4,18,23.3,C
2020,4,19,24.7,C
2020,4,20,25.5,C
2020,4,21,25.8,C
2020,4,22,22.0,C
2020,4,23,20.6,C
2020,4,24,19.6,C
2020,4,25,20.3,C
2020,4,26,22.0,C
2020,4,27,23.1,C
2020,4,28,23.5,C
2020,4,29,23.5,C
2020,4,30,23.5,C
2020,5,1,24.5,C
2020,5,2,25.3,C
2020,5,3,26.4,C
2020,5,4,27.2,C
2020,5,5,27.5,C
2020,5,6,27.8,C
2020,5,7,28.3,C
2020,5,8,28.2,C
2020,5,9,28.1,C
2020,5,10,28.2,C
2020,5,11,28.1,C
2020,5,12,26.7,C
2020,5,13,26.0,C
2020,5,14,27.1,C
2020,5,15,28.1,C
2020,5,16,28.1,C
2020,5,17,28.2,C
2020,5,18,24.9,C
2020,5,19,26.9,C
2020,5,20,27.7,C
2020,5,21,27.2,C
2020,5,22,27.6,C
2020,5,23,25.7,C
2020,5,24,26.8,C
2020,5,25,26.7,C
2020,5,26,27.3,C
2020,5,27,27.6,C
2020,5,28,27.8,C
2020,5,29,27.9,C
2020,5,30,25.7,C
2020,5,31,28.5,C
2020,6,1,29.2,C
2020,6,2,28.4,C
2020,6,3,29.1,C
2020,6,4,29.2,C
2020,6,5,29.4,C
2020,6,6,26.3,C
2020,6,7,27.5,C
2020,6,8,27.9,C
2020,6,9,28.6,C
2020,6,10,28.9,C
2020,6,11,29.0,C
2020,6,12,29.6,C
2020,6,13,29.5,C
2020,6,14,27.3,C
2020,6,15,28.4,C
2020,6,16,27.9,C
2020,6,17,28.0,C
2020,6,18,28.6,#
2020,6,19,***,
2020,6,20,***,
2020,6,21,***,
2020,6,22,***,
2020,6,23,30.0,#
2020,6,24,29.7,C
2020,6,25,29.9,C
2020,6,26,29.8,C
2020,6,27,29.3,C
2020,6,28,29.4,C
2020,6,29,29.4,C
2020,6,30,29.7,C
2020,7,1,29.8,C
2020,7,2,29.3,C
2020,7,3,28.2,C
2020,7,4,29.2,C
2020,7,5,29.6,C
2020,7,6,29.8,C
2020,7,7,29.2,C
2020,7,8,29.5,C
2020,7,9,29.6,C
2020,7,10,29.7,C
2020,7,11,29.9,C
2020,7,12,30.1,C
2020,7,13,30.0,C
2020,7,14,30.4,C
2020,7,15,30.1,C
2020,7,16,30.0,C
2020,7,17,29.3,C
2020,7,18,30.1,C
